,Airline Name,Overall_Rating,Review Date,Verified,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
3311,AirAsia India,2,5th November 2018,TRUE,A320,Solo Leisure,Economy Class,Pune to Kolkata,October 2018,1,2,,1,,,1,no
3312,AirAsia India,1,1st November 2018,FALSE,,Business,Economy Class,Chennai to Kochi,October 2018,,,,,,,1,no
3313,AirAsia India,1,21st October 2018,TRUE,,Family Leisure,Economy Class,Goa to New Delhi,October 2018,2,2,1,1,1,1,1,no
3314,AirAsia India,1,4th October 2018,TRUE,,Couple Leisure,Economy Class,Delhi to Kuala Lumpur,September 2018,4,5,,5,,,5,yes
3315,AirAsia India,1,28th July 2018,TRUE,A320-200,Business,Economy Class,Jaipur to Bangalore,July 2018,1,3,3,3,,,1,no
3316,AirAsia India,1,23rd July 2018,TRUE,,Family Leisure,Economy Class,Jaipur to Pune,July 2018,2,2,,1,1,,1,no
3317,AirAsia India,2,13th June 2018,TRUE,,Couple Leisure,Economy Class,Bangalore to Delhi,June 2018,3,3,,1,,,1,no
3318,AirAsia India,1,14th May 2018,TRUE,,Family Leisure,Economy Class,Vishakhapatnam to Bangalore,May 2018,1,1,1,1,1,1,1,no
3319,AirAsia India,1,7th May 2018,TRUE,,Couple Leisure,Economy Class,Bengaluru to Chennai,May 2018,1,3,,1,,,1,no
3320,AirAsia India,5,4th May 2018,TRUE,,Family Leisure,Economy Class,Hyderabad to Banglore,April 2018,3,1,1,1,2,1,3,yes
3321,AirAsia India,2,1st May 2018,TRUE,,Couple Leisure,Economy Class,Guwahati to Delhi,April 2018,1,1,,1,,,1,no
3322,AirAsia Philippines,1,22nd July 2023,TRUE,A320,Couple Leisure,Economy Class,Osaka to Manila,July 2023,1,,,1,,,1,no
3323,AirAsia Philippines,1,24th June 2023,TRUE,,Family Leisure,Economy Class,Cebu to Singapore,November 2022,,,,,,,1,no
3324,AirAsia Philippines,2,10th June 2023,TRUE,A320-200,Solo Leisure,Economy Class,Manila to Tokyo Narita,May 2023,1,1,,2,,,2,no
3325,AirAsia Philippines,1,19th April 2023,FALSE,,Couple Leisure,Economy Class,Tacloban to Manila,April 2023,2,1,1,1,1,1,3,no
3326,AirAsia Philippines,1,19th April 2023,TRUE,,Couple Leisure,Economy Class,Manila to Phuket via Kuala Lumpur,April 2023,1,2,1,1,1,1,1,no
3327,AirAsia Philippines,3,12th April 2023,TRUE,,Business,Economy Class,Manila to Caticlan,April 2023,1,3,3,1,1,1,1,no
3328,AirAsia Philippines,3,1st April 2023,TRUE,,Family Leisure,Economy Class,Manila to Bangkok,April 2023,3,3,,2,,,2,no
3329,AirAsia Philippines,1,19th November 2022,TRUE,,Solo Leisure,Economy Class,Boracay to Manila,November 2022,1,1,,1,,,1,no
3330,AirAsia Philippines,1,15th November 2022,TRUE,,Solo Leisure,Economy Class,Iloilo to Manila,November 2022,1,1,,1,,,1,no
3331,AirAsia Philippines,5,12th October 2022,TRUE,A320-200,Couple Leisure,Economy Class,Boracay to Manila,October 2022,3,5,2,1,,,3,no
3332,AirAsia Philippines,9,9th October 2022,TRUE,A320-200,Couple Leisure,Economy Class,Manila to Caticlan Boracay,October 2022,5,5,,5,,,5,yes
3333,AirAsia Philippines,1,19th September 2022,TRUE,,Solo Leisure,Economy Class,Manila to Tagbilaran,September 2022,,,,,,,1,no
3334,AirAsia Philippines,1,4th September 2022,TRUE,,Solo Leisure,Economy Class,Manila to Tacloban,September 2022,1,,,1,,,1,no
3335,AirAsia Philippines,4,21st August 2022,FALSE,,Solo Leisure,Economy Class,Bacolod to Manila,August 2022,2,2,1,1,1,,2,no
3336,AirAsia Philippines,1,19th August 2022,FALSE,,Couple Leisure,Economy Class,Manila to Cebu,August 2022,1,3,,2,,,1,no
3337,AirAsia Philippines,1,15th August 2022,TRUE,,Solo Leisure,Economy Class,Osaka to Manila,July 2022,,,,,,,1,no
3338,AirAsia Philippines,3,2nd August 2022,TRUE,,Family Leisure,Economy Class,Clark to Caticlan,April 2022,3,3,1,3,,,3,no
3339,AirAsia Philippines,1,2nd August 2022,TRUE,,Solo Leisure,Economy Class,Manila to Cebu,June 2022,1,,,1,,,1,no
3340,AirAsia Philippines,3,1st August 2022,TRUE,,Family Leisure,Economy Class,Manila to Panglao,July 2022,1,1,,1,,,3,no
3341,AirAsia Philippines,2,21st July 2022,TRUE,A320,Solo Leisure,Economy Class,Manila to Davao,July 2022,2,3,,1,,,2,yes
3342,AirAsia Philippines,1,9th June 2022,TRUE,,Solo Leisure,Economy Class,Cebu to Davao,June 2022,,,,1,,,3,no
3343,AirAsia Philippines,1,20th May 2022,TRUE,,Solo Leisure,Economy Class,Cagayan to Manila,May 2022,2,2,,1,,,1,no
3344,AirAsia Philippines,3,3rd January 2022,TRUE,A320,Family Leisure,Economy Class,Manila to Caticlan,January 2022,4,3,4,1,,,3,no
3345,AirAsia Philippines,1,30th December 2021,TRUE,A320,Couple Leisure,Economy Class,Caticlan to Cebu,November 2021,1,1,,1,,,1,no
3346,AirAsia Philippines,2,21st July 2020,FALSE,,Solo Leisure,Economy Class,Bali to Puerto Princessa,March 2020,,,,,,,1,no
3347,AirAsia Philippines,1,22nd June 2020,FALSE,,Family Leisure,Economy Class,Manila to Boracay,March 2020,,,,,,,1,no
3348,AirAsia Philippines,1,18th June 2020,TRUE,,Solo Leisure,Premium Economy,Tagbilaran to Manila,June 2020,1,1,1,1,,,1,no
3349,AirAsia Philippines,2,2nd June 2020,FALSE,,Couple Leisure,Economy Class,Cebu to Singapore,March 2020,,,,,,,3,no
3350,AirAsia Philippines,1,20th April 2020,TRUE,,Couple Leisure,Economy Class,Manila to Bangkok,March 2020,,,,,,,1,no
3351,AirAsia Philippines,1,10th April 2020,FALSE,,Couple Leisure,Economy Class,Caticlan to Manila,April 2020,,,,,,,1,no
3352,AirAsia Philippines,1,4th April 2020,TRUE,,Family Leisure,Economy Class,Manila to Tacloban,December 2019,,,,,,,1,no
3353,AirAsia Philippines,1,6th February 2020,TRUE,,Solo Leisure,Economy Class,Cebu to Davao,February 2020,,,,1,,,1,no
3354,AirAsia Philippines,4,2nd January 2020,TRUE,,Couple Leisure,Economy Class,Cebu to Kaohsiung,January 2020,3,3,,2,,,3,no
3355,AirAsia Philippines,2,21st December 2019,TRUE,,Couple Leisure,Economy Class,Cebu to Puerto Princesa,December 2019,2,2,,1,,,1,no
3356,AirAsia Philippines,2,7th November 2019,TRUE,,Solo Leisure,Economy Class,Davao to Manila,November 2019,3,1,,1,,,1,no
3357,AirAsia Philippines,1,8th October 2019,TRUE,,Solo Leisure,Economy Class,Puerto Princesa to Manila,October 2019,1,1,,1,,,1,no
3358,AirAsia Philippines,3,29th August 2019,TRUE,,Family Leisure,Economy Class,Cebu to Manila,August 2019,4,2,,2,,,1,no
3359,AirAsia Philippines,1,4th August 2019,FALSE,A321neo,Family Leisure,Economy Class,Manila to Taipei,June 2019,5,5,5,5,,,5,yes
3360,AirAsia Philippines,2,16th July 2019,TRUE,,Business,Economy Class,Singapore to Cebu,July 2019,1,3,2,1,1,1,5,no
3361,AirAsia Philippines,2,14th May 2019,TRUE,,Couple Leisure,Economy Class,Manila to Kalibo,May 2019,2,3,,2,,,1,no
3362,AirAsia Philippines,1,11th May 2019,FALSE,A320,Couple Leisure,Economy Class,Cebu to Davao City,May 2019,2,1,,1,,,1,no
3363,AirAsia Philippines,1,7th May 2019,TRUE,,Family Leisure,Economy Class,Singapore to Cebu,April 2019,1,2,2,1,,,1,no
3364,AirAsia Philippines,2,6th May 2019,TRUE,A320-200,Business,Economy Class,Cebu to Manila,April 2019,3,1,2,4,,,3,no
3365,AirAsia Philippines,1,22nd April 2019,TRUE,,Solo Leisure,Economy Class,Cagayan de oro to Manila,April 2019,,,,1,,,1,no
3366,AirAsia Philippines,1,14th April 2019,TRUE,,Solo Leisure,Economy Class,Boracay to Manila,April 2019,3,4,,1,,,1,no
3367,AirAsia Philippines,1,4th April 2019,TRUE,A320-200,Solo Leisure,Economy Class,Manila to Seoul,March 2019,2,2,,1,,,1,no
3368,AirAsia Philippines,1,9th March 2019,TRUE,,Solo Leisure,Economy Class,Manila to Puerto Princesa,March 2019,2,3,,1,,,1,no
3369,AirAsia Philippines,1,27th February 2019,TRUE,,Couple Leisure,Economy Class,Manila to Seoul,January 2019,,,,,,,2,no
3370,AirAsia Philippines,1,2nd February 2019,TRUE,,Couple Leisure,Economy Class,Cebu to Manila,January 2019,,,,1,,,1,no
3371,AirAsia Philippines,2,4th January 2019,TRUE,,Solo Leisure,Economy Class,Kalibo to Malina,January 2019,1,3,3,1,,,3,no
3372,AirAsia Philippines,1,1st January 2019,TRUE,,Business,Economy Class,Clark to Cebu,December 2018,2,2,,1,1,1,1,no
3373,AirAsia Philippines,9,25th July 2018,FALSE,,Couple Leisure,Economy Class,Manila to Taiwan,July 2018,3,5,3,5,,,5,yes
3374,AirAsia Philippines,9,15th July 2018,TRUE,A320,Solo Leisure,Economy Class,Davao to Manila,July 2018,4,5,3,5,,,5,yes
3375,AirAsia Philippines,9,7th June 2018,FALSE,A320,Family Leisure,Economy Class,Manila to Davao,June 2018,4,4,3,5,,,5,yes
3376,AirAsia Philippines,5,31st May 2018,TRUE,A320,Solo Leisure,Economy Class,Bangkok to Manila,May 2018,3,4,,3,,,4,yes
3377,AirAsia Philippines,3,5th May 2018,TRUE,,Couple Leisure,Economy Class,Manila to Puerto Prinsesa,May 2018,1,1,,2,,,2,no
3378,AirAsia Philippines,1,17th March 2018,TRUE,A320-200,Business,Economy Class,Cebu to Manila,March 2018,2,3,,1,,,3,no
3379,AirAsia Philippines,1,6th February 2018,TRUE,,Business,Economy Class,Cebu to Manila,January 2018,1,,,1,,,1,no
3380,AirAsia Philippines,1,26th January 2018,TRUE,,Couple Leisure,Economy Class,Manila to Davao,January 2018,,,,2,,2,2,no
3381,AirAsia Philippines,1,9th December 2017,TRUE,A320,Couple Leisure,Economy Class,Manila to Puerto Princesa,December 2017,3,4,1,1,,,3,no
3382,AirAsia Philippines,4,17th October 2017,FALSE,,Family Leisure,Economy Class,Tagbilaran to Manila,October 2017,4,4,,1,,,4,yes
3383,AirAsia Philippines,9,19th September 2017,FALSE,A320,Couple Leisure,Economy Class,Cebu to Puerto Princesa,June 2017,3,4,,4,,,5,yes
3384,AirAsia Philippines,1,17th September 2017,FALSE,,Business,Economy Class,Manila to Cebu,September 2017,1,1,,1,,,1,no
3385,AirAsia Philippines,3,27th August 2017,FALSE,,Couple Leisure,Economy Class,Manila to Caticlan,August 2017,3,4,,1,,,3,no
3386,AirAsia Philippines,1,31st July 2017,FALSE,,Couple Leisure,Economy Class,Cebu to Manila,July 2017,,,,,,,1,no
3387,AirAsia Philippines,2,26th July 2017,FALSE,,Couple Leisure,Economy Class,Kalibo to Manila,July 2017,3,3,,2,,,1,no
3388,AirAsia Philippines,1,4th July 2017,FALSE,,Family Leisure,Economy Class,Manila to Tacloban,June 2017,5,5,,5,,,5,yes
3389,AirAsia Philippines,1,12th December 2016,FALSE,A320,Couple Leisure,Economy Class,KLO to MNL,December 2016,4,5,,3,,,5,yes
3390,AirAsia Philippines,7,4th December 2016,FALSE,A320,Couple Leisure,Economy Class,ICN to CEB via MNL,November 2016,3,5,4,1,,,5,yes
3391,AirAsia Philippines,1,31st August 2016,FALSE,A320,Couple Leisure,Economy Class,MNL to KLO,August 2016,1,2,,1,,,1,no
3392,AirAsia Philippines,9,8th August 2016,FALSE,,Solo Leisure,Economy Class,MNL to CEB,June 2016,5,5,,5,,,5,yes
3393,AirAsia Philippines,4,11th May 2016,FALSE,,Solo Leisure,Economy Class,CEB to MNL,May 2016,2,1,,1,,,2,yes
3394,AirAsia Philippines,1,8th May 2016,FALSE,,Couple Leisure,Economy Class,MNL to TAC,May 2016,2,1,1,1,,,1,no
3395,AirAsia Philippines,1,4th March 2016,FALSE,,Family Leisure,Economy Class,MNL to HKG,March 2016,3,5,2,3,1,,1,no
3396,AirAsia Philippines,2,14th February 2016,FALSE,,Business,Economy Class,KLO to ICN,February 2016,2,3,,2,,,1,no
3397,AirAsia X,8,19th July 2023,TRUE,A330-300,Couple Leisure,Economy Class,Kuala Lumpur to Incheon,June 2023,3,4,4,4,,,5,yes
3398,AirAsia X,1,14th July 2023,FALSE,,Business,Business Class,Federal Territory of Kuala Lumpur to Sydney,July 2023,1,1,1,1,1,1,1,no
3399,AirAsia X,1,19th May 2023,TRUE,A330,Couple Leisure,Economy Class,Kuala Lumpur to Sydney,May 2023,2,2,3,1,1,1,2,no
3400,AirAsia X,1,9th April 2023,TRUE,,Solo Leisure,Economy Class,Bangkok to Sydney,October 2022,,,,,,,1,no
3401,AirAsia X,1,28th March 2023,FALSE,,Business,Economy Class,Osaka to Kota Kinabalu,March 2023,1,1,1,1,,,1,no
3402,AirAsia X,1,29th January 2023,TRUE,,Solo Leisure,Economy Class,Kuala Lumpur to Melbourne,January 2023,1,2,1,2,,,1,no
3403,AirAsia X,3,26th January 2023,FALSE,,Solo Leisure,Economy Class,Sydney to Bangkok,January 2023,3,4,2,4,3,,4,no
3404,AirAsia X,1,17th January 2023,TRUE,,Family Leisure,Economy Class,Melbourne to Kuala Lumpur,January 2023,2,1,,1,,,1,no
3405,AirAsia X,1,29th December 2022,FALSE,,Family Leisure,Premium Economy,Kuala Lumpur to Sapporo,December 2022,3,4,3,1,,,1,no
3406,AirAsia X,2,19th December 2022,TRUE,,Solo Leisure,Economy Class,Melbourne to Bangkok,December 2022,3,3,1,1,1,1,3,no
3407,AirAsia X,1,8th December 2022,FALSE,,Solo Leisure,Economy Class,Melbourne to Kuala Lumpur,December 2022,1,2,2,2,1,,1,no
3408,AirAsia X,1,25th November 2022,TRUE,,Solo Leisure,Economy Class,Sydney to Tiruchirappalli via Kuala Lumpur,November 2022,,,,,,,1,no
3409,AirAsia X,1,6th October 2022,FALSE,,Solo Leisure,Economy Class,Melbourne to Taipei via Kuala Lumpur,September 2022,1,1,,1,,,1,no
3410,AirAsia X,1,28th January 2021,TRUE,,Solo Leisure,Economy Class,Brisbane to Bangkok,April 2020,,,,,,,1,no
3411,AirAsia X,1,23rd January 2021,TRUE,,Couple Leisure,Economy Class,Krabi to Gold Coast via Kuala Lumpur,April 2020,,,,1,,,1,no
3412,AirAsia X,1,1st December 2020,TRUE,A330,Solo Leisure,Economy Class,Perth to Chiang Mai via Kuala Lumpur,April 2020,,,,,,,1,no
3413,AirAsia X,1,19th August 2020,FALSE,A330,Solo Leisure,Economy Class,Kuala Lumpur to Gold Coast,December 2019,5,5,,5,,,5,yes
3414,AirAsia X,1,7th June 2020,TRUE,,Solo Leisure,Economy Class,Denpasar to Melbourne via Kuala Lumpur,June 2020,,,,,,,1,no
3415,AirAsia X,1,20th April 2020,TRUE,AK46,Solo Leisure,Economy Class,Melbourne to Colombo via Kuala Lumpur,March 2020,,,,,,,1,no
3416,AirAsia X,1,30th March 2020,TRUE,,Solo Leisure,Economy Class,Bangkok to Fukuoka,March 2020,1,1,,2,,1,1,no
3417,AirAsia X,3,22nd January 2020,FALSE,,Family Leisure,Economy Class,Kuala Lumpur to Melbourne,January 2020,3,3,3,3,1,,1,no
3418,AirAsia X,7,12th January 2020,TRUE,A330,Solo Leisure,Economy Class,Taipei to Kuala Lumpur,January 2020,3,3,3,3,,,4,yes
3419,AirAsia X,9,4th January 2020,TRUE,A330,Solo Leisure,Economy Class,Kuala Lumpur to Sapporo,November 2019,5,5,,5,,,5,yes
3420,AirAsia X,1,3rd January 2020,FALSE,,Solo Leisure,Economy Class,Kuala Lumpur to the Gold Coast,December 2019,5,5,,5,,,5,yes
3421,AirAsia X,1,1st December 2019,FALSE,,Solo Leisure,Economy Class,Kuala Lumpur to Sydney,November 2019,5,5,4,4,,,5,yes
3422,AirAsia X,3,28th November 2019,FALSE,,Solo Leisure,Economy Class,Perth to Denpasar via Lombok,November 2019,2,4,3,3,,,2,yes
3423,AirAsia X,2,26th November 2019,TRUE,,Solo Leisure,Economy Class,Melbourne to Kuala Lumpur,November 2019,2,4,2,1,,,1,no
3424,AirAsia X,3,30th October 2019,FALSE,,Couple Leisure,Premium Economy,Kuala Lumpur to Melbourne,October 2019,4,1,3,3,3,1,2,no
3425,AirAsia X,1,20th October 2019,TRUE,A330,Family Leisure,Economy Class,Osaka to Bangkok,October 2019,3,3,3,5,,,5,yes
3426,AirAsia X,1,12th October 2019,TRUE,,Couple Leisure,Economy Class,Kuala Lumpur to Perth,October 2019,1,,,2,,,1,no
3427,AirAsia X,2,24th September 2019,TRUE,A330-300,Family Leisure,Economy Class,Kuala Lumpur to Fukuoka,September 2019,2,1,2,3,,,3,no
3428,AirAsia X,5,7th September 2019,TRUE,,Couple Leisure,Premium Economy,Melbourne to Kuala Lumpur,August 2019,3,2,3,4,,,3,no
3429,AirAsia X,1,6th September 2019,TRUE,A330-300,Solo Leisure,Economy Class,Gold Coast to Kuala Lumpur,September 2019,4,5,5,5,,,5,no
3430,AirAsia X,1,20th July 2019,TRUE,A330,Solo Leisure,Economy Class,Phuket to Melbourne via Kualar Lumpur,July 2019,1,1,,1,,,1,no
3431,AirAsia X,1,15th July 2019,TRUE,,Family Leisure,Economy Class,Bangkok Don Mueang to Osaka,July 2019,1,1,,1,1,,2,no
3432,AirAsia X,9,8th July 2019,TRUE,A330-300,Business,Economy Class,Kuala Lumpur to Gold Coast,July 2019,2,5,4,3,,,5,yes
3433,AirAsia X,1,25th June 2019,TRUE,,Business,Economy Class,Beijing to Kuala Lumpur,June 2019,1,1,,1,,,1,no
3434,AirAsia X,8,29th April 2019,TRUE,A330-300,Solo Leisure,Business Class,Kuala Lumpur to Perth,April 2019,4,5,3,3,3,,4,yes
3435,AirAsia X,3,20th April 2019,TRUE,,Couple Leisure,Premium Economy,Langkawi to Melbourne via Kuala Lumpur,April 2019,3,3,3,1,,,3,no
3436,AirAsia X,6,11th February 2019,TRUE,,Solo Leisure,Economy Class,Kuala Lumpur to Sydney,February 2019,2,3,3,2,,,3,yes
3437,AirAsia X,7,30th January 2019,TRUE,A330-300,Solo Leisure,Economy Class,Bangkok to Tokyo,January 2019,3,5,,4,1,,4,yes
3438,AirAsia X,7,30th January 2019,TRUE,A330-300,Solo Leisure,Economy Class,Seoul to Bangkok,December 2018,3,4,,3,1,,5,yes
3439,AirAsia X,9,15th January 2019,TRUE,A320 / A330,Solo Leisure,Economy Class,Bangkok to Auckland via Kuala Lumpur,January 2019,3,4,5,4,,,5,yes
3440,AirAsia X,6,12th January 2019,TRUE,A330,Solo Leisure,Economy Class,Tokyo Haneda to Kuala Lumpur,January 2019,2,2,3,2,,,4,yes
3441,AirAsia X,8,9th January 2019,TRUE,A330,Solo Leisure,Economy Class,Kuala Lumpur to Tokyo Haneda,January 2019,3,4,3,3,,,4,yes
3442,AirAsia X,6,5th January 2019,TRUE,A330,Couple Leisure,Premium Economy,Seoul Incheon to Kuala Lumpur,January 2019,3,5,4,2,4,4,3,no
3443,AirAsia X,6,15th December 2018,TRUE,,Solo Leisure,Economy Class,Denpasar to Auckland via Kuala Lumpur,December 2018,1,4,2,4,,,4,yes
3444,AirAsia X,1,24th November 2018,TRUE,A330,Couple Leisure,Economy Class,Kuala Lumpur to Osaka,November 2018,,,,3,,,2,no
3445,AirAsia X,8,20th November 2018,TRUE,,Solo Leisure,Economy Class,Amritsar to New Chitose via Kuala Lumpur,November 2018,4,5,4,4,,,4,yes
3446,AirAsia X,1,14th September 2018,TRUE,,Couple Leisure,Economy Class,Kuala Lumpur to Sydney,March 2018,2,2,,1,,,1,no
3447,AirAsia X,1,13th September 2018,TRUE,A330-300,Family Leisure,Economy Class,Kuala Lumpur to Sapporo,September 2018,,,,,,,1,no
3448,AirAsia X,1,11th September 2018,FALSE,,Family Leisure,Economy Class,Colombo to Sydney via Kuala Lumpur,August 2018,2,3,2,1,,,1,no
3449,AirAsia X,1,7th August 2018,TRUE,,Business,Economy Class,Kuala Lumpur to Melbourne,August 2018,1,2,,2,,,3,no
3450,AirAsia X,3,6th August 2018,TRUE,,Solo Leisure,Economy Class,Kuala Lumpur to Gold Coast,July 2018,2,3,3,1,,,3,no
3451,AirAsia X,8,31st July 2018,FALSE,,Solo Leisure,Economy Class,Gold Coast to Kuala Lumpur,July 2018,3,4,4,5,,,4,yes
3452,AirAsia X,1,19th July 2018,TRUE,,Solo Leisure,Economy Class,Sydney to Delhi via Kuala Lumpur,June 2018,1,3,,1,,,1,no
3453,AirAsia X,8,5th July 2018,TRUE,Air Bus A330-300,Solo Leisure,Economy Class,Miri to Shanghai via Kuala Lumpur,May 2018,3,4,5,3,1,,4,yes
3454,AirAsia X,1,29th June 2018,TRUE,,Family Leisure,Economy Class,Melbourne to Phuket via Kuala Lumpur,June 2018,3,5,5,5,1,2,5,yes
3455,AirAsia X,1,27th June 2018,TRUE,A330,Solo Leisure,Economy Class,Kuala Lumpur to Gold Coast,June 2018,5,5,,5,,,5,yes
3456,AirAsia X,9,15th June 2018,TRUE,A330-200,Couple Leisure,Premium Economy,Gold Coast to Phuket via Kuala Lumpur,June 2018,5,5,5,4,,,5,yes
3457,AirAsia X,1,22nd April 2018,TRUE,,Couple Leisure,Economy Class,Honolulu to Osaka,April 2018,2,1,,1,,,1,no
3458,AirAsia X,7,21st April 2018,TRUE,A330,Solo Leisure,Economy Class,Kuala Lumpur to Melbourne,April 2018,3,4,3,4,2,,3,yes
3459,AirAsia X,1,25th March 2018,TRUE,,Couple Leisure,Economy Class,Gold Coast to Kuala Lumpur,March 2018,1,2,3,2,,,2,no
3460,AirAsia X,8,16th March 2018,TRUE,,Solo Leisure,Economy Class,Sydney to Bangalore via Kuala Lumpur,March 2018,3,5,5,5,1,1,5,yes
3461,AirAsia X,1,26th February 2018,TRUE,,Solo Leisure,Economy Class,Sydney to Ho Chi Minh City via Kuala Lumpur,February 2018,4,5,,5,,,5,yes
3462,AirAsia X,9,15th February 2018,TRUE,A330,Solo Leisure,Economy Class,Pattaya to Jakarta via Kuala Lumpur,December 2017,5,4,4,5,,,5,yes
3463,AirAsia X,8,14th February 2018,TRUE,A330,Solo Leisure,Economy Class,Osaka to Honolulu,December 2017,5,3,3,5,,,5,yes
3464,AirAsia X,2,18th January 2018,TRUE,,Couple Leisure,Economy Class,Tokyo to Denpasar Bali,January 2018,3,1,1,2,,,1,no
3465,AirAsia X,8,30th December 2017,TRUE,,Solo Leisure,Business Class,Sydney to Delhi via Kuala Lumpur,November 2017,4,4,3,5,3,,5,yes
3466,AirAsia X,4,30th December 2017,TRUE,,Solo Leisure,Economy Class,Beijing to Melbourne via Kuala Lumpur,December 2017,3,1,,2,,,2,no
3467,AirAsia X,8,12th November 2017,FALSE,A330-300,Couple Leisure,Economy Class,Osaka to Honolulu,November 2017,4,2,4,4,,,4,yes
3468,AirAsia X,5,19th September 2017,FALSE,,Solo Leisure,Economy Class,Osaka to Kuala Lumpur,September 2017,,,,2,,,3,no
3469,AirAsia X,9,14th September 2017,FALSE,,Solo Leisure,Economy Class,Kuala Lumpur to Gold Coast,August 2017,3,5,4,5,,,5,yes
3470,AirAsia X,8,11th September 2017,FALSE,A330,Family Leisure,Premium Economy,Osaka to Kuala lumpur,September 2017,4,5,5,5,,,5,yes
3471,AirAsia X,2,29th August 2017,FALSE,,Family Leisure,Economy Class,Tokyo to Bali via Kuala Lumpur,August 2017,1,1,,1,,,2,no
3472,AirAsia X,1,28th August 2017,FALSE,,Solo Leisure,Economy Class,Sydney to Bangkok via Kuala Lumpur,September 2016,,,,,,,1,no
3473,AirAsia X,5,4th July 2017,FALSE,,Family Leisure,Premium Economy,Perth to Bangkok,July 2017,5,5,2,4,2,,3,no
3474,AirAsia X,2,1st July 2017,FALSE,,Solo Leisure,Economy Class,Tehran to Singapore via Kuala Lumpur,June 2017,5,3,,1,,,5,no
3475,AirAsia X,1,19th June 2017,FALSE,,Solo Leisure,Economy Class,Melbourne to Ho Chi Minh City via Kuala Lumpur,June 2017,2,3,3,2,,,2,no
3476,AirAsia X,7,28th May 2017,FALSE,A330-300,Solo Leisure,Economy Class,Sydney to Kuala Lumpur,May 2017,2,4,3,3,,,4,yes
3477,AirAsia X,8,6th May 2017,FALSE,A330-300,Couple Leisure,Economy Class,Kuala Lumpur to Perth,April 2017,3,4,5,5,,,5,yes
3478,AirAsia X,9,3rd May 2017,FALSE,A330-300 / A320,Solo Leisure,Business Class,Perth to U-Tapao via Kuala Lumpur,April 2017,5,4,4,4,3,,5,yes
3479,AirAsia X,2,30th April 2017,FALSE,,Couple Leisure,Premium Economy,Xi'an to Kuala Lumpur,April 2017,5,1,,3,,,2,no
3480,AirAsia X,6,28th April 2017,FALSE,A330 / A320,Couple Leisure,Economy Class,Perth to Siem Reap via KL,April 2017,1,1,5,5,,,4,yes
3481,AirAsia X,8,20th April 2017,FALSE,A330 and A320,Solo Leisure,Economy Class,Sydney to Phuket via Kuala Lumpur,April 2017,3,4,3,4,,,4,yes
3482,AirAsia X,1,14th April 2017,FALSE,,Couple Leisure,Economy Class,Kuala Lumpur to Taipei,April 2017,1,1,1,1,1,1,2,no
3483,AirAsia X,7,4th March 2017,FALSE,A330-300,Solo Leisure,Economy Class,KUL to AKL via OOL,February 2017,3,4,3,4,,,5,yes
3484,AirAsia X,7,3rd March 2017,FALSE,A330-300,Family Leisure,Economy Class,AKL to KUL via OOL,February 2017,3,4,2,4,,,5,yes
3485,AirAsia X,8,3rd February 2017,FALSE,A330 / A320,Couple Leisure,Economy Class,SYD to COK via KUL,January 2017,4,3,3,3,,3,3,yes
3486,AirAsia X,4,2nd January 2017,FALSE,A330-300,Family Leisure,Economy Class,AKL to KUL via OOL,December 2016,4,3,2,2,,,3,yes
3487,AirAsia X,7,26th December 2016,FALSE,A3330,Solo Leisure,Economy Class,KUL to IKA,December 2016,2,4,3,3,,,4,yes
3488,AirAsia X,8,12th December 2016,FALSE,A330-300,Solo Leisure,Economy Class,PER to KUL,December 2016,1,5,4,3,,,4,yes
3489,AirAsia X,9,6th December 2016,FALSE,A330-300,Solo Leisure,Economy Class,KUL to SYD,February 2016,3,5,3,4,,,5,yes
3490,AirAsia X,1,4th December 2016,FALSE,A330,Couple Leisure,Economy Class,KUL to HND,October 2016,4,5,4,4,,,5,yes
3491,AirAsia X,1,4th December 2016,FALSE,A330,Couple Leisure,Premium Economy,MEL to KUL,December 2016,5,5,5,5,,,5,yes
3492,AirAsia X,7,3rd December 2016,FALSE,A330,Family Leisure,Economy Class,KUL to HND,November 2016,1,5,5,3,1,,4,yes
3493,AirAsia X,8,1st December 2016,FALSE,A330,Solo Leisure,Business Class,KUL to PER,November 2016,4,3,1,2,,,4,yes
3494,AirAsia X,4,24th November 2016,FALSE,,Solo Leisure,Economy Class,ICN to KUL,November 2016,2,2,2,3,,,3,yes
3495,AirAsia X,7,11th November 2016,FALSE,A330-300 / A320,Solo Leisure,Economy Class,MEL to MNL via KUL,October 2016,3,4,4,3,,,5,yes
3496,AirAsia X,1,6th November 2016,FALSE,A330-300,Family Leisure,Economy Class,HND to KUL,July 2016,4,5,5,5,,,5,yes
3497,AirAsia Zest,1,7th September 2016,FALSE,A320,Solo Leisure,Economy Class,MNL to KLO,July 2016,5,5,,5,,,5,yes
3498,AirAsia Zest,2,1st February 2016,FALSE,A320,Solo Leisure,First Class,MNL to HKG,August 2015,2,3,1,1,,,2,no
3499,AirAsia Zest,3,5th October 2015,FALSE,,Family Leisure,Economy Class,Manila to Tagbilaran,March 2015,3,4,,1,,,3,no
3500,AirAsia Zest,9,12th September 2015,FALSE,A320-200,Solo Leisure,Economy Class,Manila to Cebu,September 2015,4,5,,5,,,5,yes
